"muni_code","muni_state","muni_name","comarca","state_codetj","comarca_codetj"
3500105,"SP","adamantina","adamantina","25","0081"
3500204,"SP","adolfo","josé bonifácio","25","0306"
3500303,"SP","aguaí","aguaí","25","0083"
3500402,"SP","águas da prata","são joão da boa vista","25","0568"
3500501,"SP","águas de lindóia","águas de lindóia","25","0035"
3500550,"SP","águas de santa bárbara","cerqueira césar","25","0136"
3500600,"SP","águas de são pedro","são pedro","25","0584"
3500709,"SP","agudos","agudos","25","0058"
3500758,"SP","alambari","itapetininga","25","0269"
3500808,"SP","alfredo marcondes","presidente prudente","25","0482"
3500808,"SP","alfredo marcondes","presidente prudente","25","0665"
3500907,"SP","altair","olímpia","25","0400"
3500907,"SP","altair","olímpia","25","0671"
3500907,"SP","altair","olímpia","25","0700"
3501004,"SP","altinópolis","altinópolis","25","0042"
3501103,"SP","alto alegre","penápolis","25","0438"
3501152,"SP","alumínio","mairinque","25","0337"
3501202,"SP","álvares florence","votuporanga","25","0664"
3501202,"SP","álvares florence","votuporanga","25","0690"
3501301,"SP","álvares machado","presidente prudente","25","0482"
3501301,"SP","álvares machado","presidente prudente","25","0665"
3501400,"SP","álvaro de carvalho","garça","25","0201"
3501509,"SP","alvinlândia","garça","25","0201"
3501608,"SP","americana","americana","25","0019"
3501707,"SP","américo brasiliense","américo brasiliense","25","0040"
3501806,"SP","américo de campos","tanabi","25","0615"
3501905,"SP","amparo","amparo","25","0022"
3502002,"SP","analândia","itirapina","25","0283"
3502101,"SP","andradina","andradina","25","0024"
3502200,"SP","angatuba","angatuba","25","0025"
3502309,"SP","anhembi","conchas","25","0145"
3502408,"SP","anhumas","presidente prudente","25","0482"
3502408,"SP","anhumas","presidente prudente","25","0665"
3502507,"SP","aparecida","aparecida","25","0028"
3502606,"SP","aparecida d'oeste","palmeira d'oeste","25","0414"
3502705,"SP","apiaí","apiaí","25","0030"
3502754,"SP","araçariguama","são roque","25","0586"
3502804,"SP","araçatuba","araçatuba","25","0032"
3502903,"SP","araçoiaba da serra","sorocaba","25","0602"
3503000,"SP","aramina","igarapava","25","0242"
3503109,"SP","arandu","avaré","25","0073"
3503158,"SP","arapeí","bananal","25","0059"
3503158,"SP","arapeí","bananal","25","0684"
3503208,"SP","araraquara","araraquara","25","0037"
3503307,"SP","araras","araras","25","0038"
3503356,"SP","arco-íris","tupã","25","0637"
3503406,"SP","arealva","bauru","25","0071"
3503505,"SP","areias","queluz","25","0488"
3503604,"SP","areiópolis","são manuel","25","0581"
3503703,"SP","ariranha","santa adélia","25","0531"
3503802,"SP","artur nogueira","artur nogueira","25","0666"
3503901,"SP","arujá","arujá","25","0045"
3503950,"SP","aspásia","urânia","25","0646"
3504008,"SP","assis","assis","25","0047"
