ibge,tse
350010,61018
350020,61034
350030,61050
350040,61077
350050,61093
350055,70190
350060,61115
350070,61131
350075,61581
350080,61158
350090,61174
350100,61190
350110,61212
350115,61220
350120,61239
350130,61255
350140,61271
350150,61298
350160,61310
350170,61336
350180,61352
350190,61379
350200,61395
350210,61417
350220,61433
350230,61450
350240,61476
350250,61492
350260,61514
350270,61530
350275,61263
350280,61557
350290,61573
350300,61590
350310,61611
350315,61646
350320,61638
350330,61654
350335,62065
350340,61670
350350,61697
350360,61719
350370,61735
350380,61751
350390,61778
350395,61522
350400,61794
350410,61816
350420,61832
350430,61859
350440,61875
350450,61891
350460,61913
350470,61930
350480,61956
350490,61972
350500,62014
350510,61999
350520,62030
350530,62057
350535,61360
350540,62073
350550,62090
350560,62111
350570,62138
350580,62154
350590,62170
350600,62197
350610,62219
350620,62235
350630,62251
350635,61280
350640,62278
350650,62294
350660,62316
350670,62332
350680,62359
350690,62375
350700,62391
350710,62413
350715,61786
350720,62430
350730,62456
350740,62472
350745,61026
350750,62499
350760,62510
350770,62553
350775,62081
350780,62570
350790,62596
350800,62618
350810,62634
350820,62650
350830,62677
350840,62693
350850,62715
350860,62731
350870,62758
350880,62774
350890,62790
350900,62812
350910,62839
350920,62855
350925,61484
350930,62871
350940,62898
350945,61506
350950,62910
350960,62936
350970,62952
350980,62979
350990,62995
350995,62103
351000,63010
351010,63037
351015,61344
351020,63053
351030,63070
351040,63096
351050,63118
351060,63134
351070,63150
351080,63177
351090,63193
351100,63215
351110,63231
351120,63258
351130,63274
351140,63290
351150,63312
351160,63339
351170,63355
351190,63398
351200,63410
351210,63436
351220,63452
351230,63479
351240,63495
351250,63517
351260,63533
351270,63550
351280,63576
351290,63592
351300,63614
351310,63630
351320,63657
351330,63673
351340,63690
351350,63711
351360,63738
351370,63754
351380,63770
351385,61123
351390,63797
351400,63819
351410,63835
351420,63851
351430,63878
351440,63894
351450,63916
351460,63932
351470,63959
351480,63975
351490,63991
351492,61760
351495,61182
351500,64017
351510,64033
351512,61387
351515,61689
351518,68659
351519,61140
351520,64050
351530,64076
351535,61000
351540,64092
351550,64114
351560,64130
351565,62286
351570,64157
351580,64173
351590,64190
351600,64211
351610,64238
351620,64254
351630,64270
351640,64297
351650,64319
351660,64335
351670,64351
351680,64378
351685,62308
351690,64394
351700,64416
351710,64432
351720,64459
351730,64475
351740,64491
351750,64513
351760,64530
351770,64556
351780,64572
351790,64599
351800,64610
351810,64637
351820,64653
351830,64670
351840,64696
351850,64718
351860,64734
351870,64750
351880,64777
351885,61107
351890,64793
351900,64815
351905,61743
351907,61727
351910,64831
351920,64858
351925,61085
351930,64874
351940,64890
351950,64912
351960,64939
351970,64955
351980,64971
